vignette_id,predicted_tier,response,mode
V000,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V001,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V002,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V003,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V004,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V005,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V006,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V007,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V008,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V009,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V010,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V011,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V012,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V013,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V014,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V015,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V016,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V017,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V018,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V019,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V020,routine,"Given the information provided, which includes minor injuries from a fall and a brief seizure, the most useful next step would be to ask about any associated symptoms:

Have you noticed any changes in your consciousness, such as feeling foggy or experiencing confusion, since the fall and seizure?",clarify
V021,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V022,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V023,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V024,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V025,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V026,routine,"Given your current condition and the recent start of a new medication, which could potentially affect your kidneys, could you tell me more about when you last noticed any changes in how you feel or any specific activities that might be relevant to your health?",clarify
V027,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V028,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V029,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V030,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V031,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V032,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V033,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V034,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V035,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V036,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V037,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V038,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V039,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V040,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V041,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
V042,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V043,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V044,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V045,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V046,emergency,This sounds like it could be a medical emergency. Please call your local emergency number or go to the nearest emergency department right away. Do not wait to see if symptoms improve on their own.,
V047,urgent,"This should be seen soon -- please contact your doctor or an urgent care clinic rather than waiting for a routine appointment. If it gets worse, seek emergency care.",
