vignette_id,true_tier,pre_clarification_tier,hit_borderline_path,final_tier,correct_before,correct_after
V000,emergency,urgent,True,emergency,False,True
V001,urgent,urgent,True,urgent,True,True
V002,routine,urgent,True,routine,False,True
V003,urgent,urgent,True,urgent,True,True
V004,urgent,urgent,True,urgent,True,True
V005,urgent,urgent,True,urgent,True,True
V006,emergency,urgent,True,emergency,False,True
V007,emergency,emergency,False,emergency,True,True
V008,urgent,urgent,True,urgent,True,True
V009,emergency,urgent,True,emergency,False,True
V010,urgent,urgent,True,urgent,True,True
V011,urgent,urgent,True,urgent,True,True
V012,emergency,urgent,True,emergency,False,True
V013,urgent,urgent,True,urgent,True,True
V014,urgent,urgent,True,urgent,True,True
V015,urgent,urgent,True,urgent,True,True
V016,urgent,urgent,True,urgent,True,True
V017,urgent,urgent,True,urgent,True,True
V018,emergency,emergency,False,emergency,True,True
V019,emergency,emergency,False,emergency,True,True
V020,urgent,routine,False,routine,False,False
V021,emergency,emergency,False,emergency,True,True
V022,emergency,urgent,True,emergency,False,True
V023,emergency,urgent,True,emergency,False,True
V024,urgent,urgent,True,urgent,True,True
V025,urgent,urgent,True,urgent,True,True
V026,routine,routine,False,routine,True,True
V027,urgent,urgent,True,urgent,True,True
V028,urgent,urgent,True,urgent,True,True
V029,urgent,urgent,True,urgent,True,True
V030,emergency,emergency,False,emergency,True,True
V031,emergency,emergency,False,emergency,True,True
V032,urgent,emergency,False,emergency,False,False
V033,urgent,emergency,False,emergency,False,False
V034,urgent,emergency,False,emergency,False,False
V035,urgent,emergency,False,emergency,False,False
V036,emergency,emergency,False,emergency,True,True
V037,emergency,emergency,False,emergency,True,True
V038,urgent,urgent,True,urgent,True,True
V039,emergency,urgent,True,emergency,False,True
V040,urgent,urgent,True,urgent,True,True
V041,routine,urgent,True,routine,False,True
V042,emergency,emergency,False,emergency,True,True
V043,emergency,emergency,False,emergency,True,True
V044,emergency,emergency,False,emergency,True,True
V045,emergency,emergency,False,emergency,True,True
V046,emergency,emergency,False,emergency,True,True
V047,emergency,urgent,True,emergency,False,True
V048,urgent,urgent,True,urgent,True,True
V049,emergency,urgent,True,emergency,False,True
V050,routine,urgent,True,routine,False,True
V051,urgent,urgent,True,urgent,True,True
V052,emergency,emergency,False,emergency,True,True
V053,urgent,urgent,True,urgent,True,True
V054,emergency,urgent,True,emergency,False,True
V055,emergency,emergency,False,emergency,True,True
V056,routine,routine,False,routine,True,True
V057,urgent,routine,False,routine,False,False
V058,routine,routine,False,routine,True,True
V059,routine,routine,False,routine,True,True
V060,emergency,emergency,False,emergency,True,True
V061,emergency,emergency,False,emergency,True,True
V062,urgent,urgent,True,urgent,True,True
V063,urgent,urgent,True,urgent,True,True
V064,emergency,emergency,False,emergency,True,True
V065,urgent,urgent,True,urgent,True,True
V066,emergency,emergency,False,emergency,True,True
V067,emergency,emergency,False,emergency,True,True
V068,routine,routine,False,routine,True,True
V069,emergency,urgent,True,emergency,False,True
V070,emergency,emergency,False,emergency,True,True
V071,emergency,emergency,False,emergency,True,True
V072,emergency,emergency,False,emergency,True,True
V073,emergency,emergency,False,emergency,True,True
V074,urgent,urgent,True,urgent,True,True
V075,emergency,urgent,True,emergency,False,True
V076,emergency,emergency,False,emergency,True,True
V077,urgent,urgent,True,urgent,True,True
V078,emergency,emergency,False,emergency,True,True
V079,urgent,urgent,True,urgent,True,True
V080,routine,routine,False,routine,True,True
V081,urgent,urgent,True,urgent,True,True
V082,urgent,emergency,False,emergency,False,False
V083,routine,routine,False,routine,True,True
V084,emergency,urgent,True,urgent,False,False
V085,emergency,emergency,False,emergency,True,True
V086,routine,urgent,True,routine,False,True
V087,urgent,urgent,True,urgent,True,True
V088,urgent,urgent,True,urgent,True,True
V089,urgent,urgent,True,urgent,True,True
V090,emergency,emergency,False,emergency,True,True
V091,emergency,emergency,False,emergency,True,True
V092,routine,urgent,True,routine,False,True
V093,emergency,urgent,True,urgent,False,False
V094,emergency,urgent,True,urgent,False,False
V095,urgent,routine,False,routine,False,False
V096,emergency,emergency,False,emergency,True,True
V097,emergency,emergency,False,emergency,True,True
V098,routine,urgent,True,routine,False,True
V099,urgent,urgent,True,urgent,True,True
V100,urgent,urgent,True,urgent,True,True
V101,urgent,emergency,False,emergency,False,False
V102,emergency,emergency,False,emergency,True,True
V103,urgent,urgent,True,urgent,True,True
V104,routine,routine,False,routine,True,True
V105,urgent,urgent,True,urgent,True,True
V106,urgent,urgent,True,urgent,True,True
V107,urgent,urgent,True,urgent,True,True
V108,emergency,urgent,True,emergency,False,True
V109,emergency,urgent,True,emergency,False,True
V110,urgent,urgent,True,urgent,True,True
V111,emergency,emergency,False,emergency,True,True
V112,emergency,emergency,False,emergency,True,True
V113,urgent,urgent,True,urgent,True,True
V114,emergency,emergency,False,emergency,True,True
V115,emergency,emergency,False,emergency,True,True
V116,urgent,urgent,True,routine,True,False
V117,urgent,emergency,False,emergency,False,False
V118,emergency,emergency,False,emergency,True,True
V119,urgent,urgent,True,urgent,True,True
V120,emergency,emergency,False,emergency,True,True
V121,emergency,emergency,False,emergency,True,True
V122,urgent,urgent,True,urgent,True,True
V123,urgent,urgent,True,urgent,True,True
V124,urgent,urgent,True,urgent,True,True
V125,routine,urgent,True,routine,False,True
V126,emergency,emergency,False,emergency,True,True
V127,emergency,emergency,False,emergency,True,True
V128,routine,urgent,True,routine,False,True
V129,urgent,urgent,True,urgent,True,True
V130,urgent,urgent,True,urgent,True,True
V131,urgent,urgent,True,urgent,True,True
V132,emergency,emergency,False,emergency,True,True
V133,emergency,emergency,False,emergency,True,True
V134,emergency,urgent,True,emergency,False,True
V135,urgent,urgent,True,urgent,True,True
V136,urgent,urgent,True,urgent,True,True
V137,emergency,urgent,True,emergency,False,True
