test_query,relevant_chunk_retrieved,reviewer_notes
What are red flag symptoms that need immediate emergency care?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
How urgent is a moderate fever?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What questions should I ask about symptom duration?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What counts as a level 1 emergency?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"Someone has chest pain, what should happen?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What is a non-urgent condition?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
How do I know if abdominal pain is serious?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What should I ask if someone has a headache?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What symptoms suggest a stroke?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What should happen if someone is having a seizure?,no,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'no'])"
How should I categorize a minor cut or sprain?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What questions help figure out if a symptom is getting worse?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"Someone with a history of heart disease has chest pain, how urgent is that?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Is swelling in the ankles serious for someone with heart failure?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What if a heart patient's chest pain matches their usual angina?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"Someone on blood thinners for a heart condition fell and hit their head, how serious is that?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Is jaw or arm pain a concern for someone with heart disease?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"Someone with diabetes is shaky, sweaty and confused, what does that mean?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What are signs of diabetic ketoacidosis?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Is a non-healing foot wound serious for a diabetic?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"A diabetic accidentally took too much insulin, what should happen?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Does diabetes change how urgent chest pain is?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"Someone with a cancer history has unexplained weight loss, how urgent is that?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Is a fever serious for someone undergoing chemotherapy?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Are cancer screening questions urgent?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Is high cholesterol an emergency?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Does high cholesterol matter if someone has chest pain?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What is a hypertensive crisis?,no,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'no'])"
Is a high blood pressure reading with no symptoms urgent?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What if someone has low blood pressure and feels dizzy?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"My face feels droopy and my speech is slurred, what should I do?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I had arm weakness for a few minutes but it went away, should I still get help?",no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'yes'])"
Is sudden vision loss in one eye a stroke concern?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Does high blood pressure make sudden dizziness more urgent?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Is a sudden severe headache related to stroke?,no,"LLM-judged v2, CoT+voting (votes: ['yes', 'no', 'no'])"
"If stroke symptoms are improving on their own, can we just wait?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What counts as a level 3 urgent situation?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What should happen if a symptom description is unclear?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Does this framework replace real clinical triage scales?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
Why does it matter when a symptom started?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What questions should be asked about associated symptoms?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What is the goal of gathering clarifying questions?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
What does the FAST acronym mean for stroke?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
When does a seizure become an emergency based on how long it lasts?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What counts as a minor injury that doesn't need emergency care?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
How should a chronic condition affect triage of a new symptom?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
Does a stable chronic condition change how urgent a new symptom is?,yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
What should happen if someone mentions a chronic condition with no symptoms?,no,"LLM-judged v2, CoT+voting (votes: ['no', 'no', 'no'])"
"My rescue inhaler isn't helping, what should I do?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
"I have COPD and more shortness of breath with mucus color change, is this urgent?",yes,"LLM-judged v2, CoT+voting (votes: ['yes', 'yes', 'yes'])"
